"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Ask authorization for important operations","Toggling on ask authorization for import operations","0","0","1","0","0"
"","Hide exhausted asset","Toggling on hide exhausted asset","0","0","1","0","0"
"","","Sending RGB25 asset","0","0","2","0","0"
"","","Sending RGB20 asset","0","0","2","0","0"
"","Restore page","Restore page functionality","0","0","0","1","0"
"","","Issuing RGB25 asset","0","0","2","0","0"
"","","Issuing RGB20 asset","0","0","1","0","0"
"","Ask authorization for important operations","Toggling off ask authorization for import operations","0","0","1","0","0"
"","Mnemonic and backup configuration","Mnemonic and backup configuration functionality","0","0","0","1","0"
"","Backup page","Backup page functionality","0","0","0","1","0"
"","Hide exhausted asset","Toggling off hide exhausted asset","0","0","1","0","0"
"","","Issuing and sending the RGB assets","0","0","1","0","0"
